variable,wind_speed,wind_speed,pressure,temperature,roughness_length
height,10,100,0,2,0
time,,,,,
2015-01-05 21:00:00+00:00,2.2140732,2.43501,101303.266,290.61255,0.09023228
2015-01-05 22:00:00+00:00,2.040433,2.1837926,101314.96,291.35855,0.090282194
2015-01-05 23:00:00+00:00,2.7171164,2.9941304,101283.56,291.5871,0.09030058
2015-01-06 00:00:00+00:00,3.1710248,3.5411916,101264.914,291.61816,0.09033473
2015-01-06 01:00:00+00:00,3.781282,4.298671,101255.86,291.67514,0.09030058
2015-01-06 02:00:00+00:00,4.10659,4.709639,101220.45,292.0545,0.09026381
2015-01-06 03:00:00+00:00,4.072466,4.664776,101188.11,291.94742,0.09024279
2015-01-06 04:00:00+00:00,4.0716195,4.675095,101177.57,292.04758,0.09022703
2015-01-06 05:00:00+00:00,4.384509,5.10291,101159.555,291.03735,0.0902244
2015-01-06 06:00:00+00:00,4.5096745,5.368678,101166.72,290.70926,0.09022178
2015-01-06 07:00:00+00:00,4.564935,5.56054,101182.21,290.39728,0.09021915
2015-01-06 08:00:00+00:00,4.42385,5.5141597,101192.74,289.43597,0.09021652
2015-01-06 09:00:00+00:00,4.26719,5.374869,101235.31,289.3859,0.090213895
2015-01-06 10:00:00+00:00,3.9161322,4.8726625,101294.52,288.3774,0.09021127
2015-01-06 11:00:00+00:00,3.9721935,4.970622,101239.1,288.31064,0.09022966
2015-01-06 12:00:00+00:00,3.9018545,4.963938,101210.02,288.31293,0.09023228
2015-01-06 13:00:00+00:00,3.8244822,4.9672394,101118.46,288.2312,0.09023228
2015-01-06 14:00:00+00:00,3.7240968,4.842409,101068.2,288.1627,0.09022966
2015-01-06 15:00:00+00:00,3.171041,4.0960145,101071.055,288.21277,0.09022703
2015-01-06 16:00:00+00:00,2.689754,3.466368,101099.39,288.15405,0.0902244
2015-01-06 17:00:00+00:00,2.200649,2.8338768,101116.25,287.82712,0.09022703
2015-01-06 18:00:00+00:00,1.5256413,1.8918868,101155.766,287.91574,0.0902244
2015-01-06 19:00:00+00:00,0.80827194,0.9975762,101199.38,287.9549,0.090234905
2015-01-06 20:00:00+00:00,0.08383062,0.1298125,101244.266,289.7382,0.090261176
2015-01-06 21:00:00+00:00,1.1658261,1.3888985,101234.78,289.8487,0.0904109
2015-01-06 22:00:00+00:00,2.045087,2.46648,101279.77,290.70523,0.09045556
2015-01-06 23:00:00+00:00,3.5883725,4.443636,101313.7,290.16068,0.09070249
2015-01-07 00:00:00+00:00,4.888509,6.111342,101357.63,289.58795,0.090376765
2015-01-07 01:00:00+00:00,5.4454975,6.6129165,101414.53,289.05838,0.09026644
2015-01-07 02:00:00+00:00,5.768336,6.9670525,101428.86,288.6514,0.09024279
2015-01-07 03:00:00+00:00,5.3207254,6.4185414,101436.87,288.90698,0.090234905
2015-01-07 04:00:00+00:00,4.534898,5.4493585,101413.8,288.60535,0.09022178
2015-01-07 05:00:00+00:00,4.0227675,4.888103,101430.76,287.72406,0.090213895
2015-01-07 06:00:00+00:00,3.6485908,4.453219,101479.75,287.63312,0.09020864
2015-01-07 07:00:00+00:00,3.3989487,4.1637564,101524.21,287.55484,0.09020864
2015-01-07 08:00:00+00:00,3.4196475,4.2438393,101591.23,286.39496,0.09020864
2015-01-07 09:00:00+00:00,3.4291642,4.300615,101671.83,286.46863,0.09020601
2015-01-07 10:00:00+00:00,3.3646555,4.229738,101658.55,285.88956,0.09031634
2015-01-07 11:00:00+00:00,3.6040783,4.5346313,101702.38,285.84695,0.09036625
2015-01-07 12:00:00+00:00,3.7905574,4.7884116,101735.67,285.908,0.090439804
2015-01-07 13:00:00+00:00,3.7178807,4.6499434,101708.28,285.82108,0.090392515
2015-01-07 14:00:00+00:00,3.5080328,4.3633733,101676.88,285.6754,0.090361
2015-01-07 15:00:00+00:00,3.465883,4.3040953,101700.164,285.6432,0.09033999
2015-01-07 16:00:00+00:00,3.3233197,4.118508,101705.33,285.56894,0.09032422
2015-01-07 17:00:00+00:00,3.1246204,3.8546374,101728.83,285.6311,0.09031634
2015-01-07 18:00:00+00:00,2.8694215,3.4752798,101790.36,285.57355,0.09029795
2015-01-07 19:00:00+00:00,2.4897077,2.9717884,101802.48,285.43253,0.09027694
2015-01-07 20:00:00+00:00,2.343817,2.7424448,101836.93,287.12198,0.09025592
2015-01-07 21:00:00+00:00,1.8234096,2.0981815,101810.91,287.05347,0.090237536
2015-01-07 22:00:00+00:00,1.640713,1.8488281,101788.35,288.1368,0.09022178
2015-01-07 23:00:00+00:00,1.5797664,1.7525423,101804.37,288.32272,0.090213895
2015-01-08 00:00:00+00:00,1.623981,1.7670617,101735.78,288.73544,0.09020864
2015-01-08 01:00:00+00:00,2.3665476,2.6166294,101727.24,288.94037,0.09020864
2015-01-08 02:00:00+00:00,3.3319511,3.7267113,101718.08,289.32315,0.09021127
2015-01-08 03:00:00+00:00,4.3286805,4.914471,101632.52,289.69443,0.09021915
2015-01-08 04:00:00+00:00,4.865924,5.610843,101584.055,289.8268,0.09022178
2015-01-08 05:00:00+00:00,4.9376264,5.7613187,101593.12,289.04572,0.0902244
2015-01-08 06:00:00+00:00,5.5539975,6.6424885,101619.67,288.80798,0.09022703
2015-01-08 07:00:00+00:00,5.981183,7.389674,101664.13,288.43958,0.09023228
2015-01-08 08:00:00+00:00,6.0684495,7.835248,101667.4,286.87848,0.090240166
2015-01-08 09:00:00+00:00,6.0585876,8.306956,101692.266,286.72998,0.09025329
2015-01-08 10:00:00+00:00,5.914552,8.219906,101649.484,286.13535,0.09025592
2015-01-08 11:00:00+00:00,5.9460864,8.39011,101642.32,286.1411,0.09025592
2015-01-08 12:00:00+00:00,5.9033194,8.512188,101589.01,286.1745,0.09025329
2015-01-08 13:00:00+00:00,5.6967816,8.382712,101478.805,286.26947,0.09025067
2015-01-08 14:00:00+00:00,5.280362,7.9214153,101425.07,286.08987,0.090240166
2015-01-08 15:00:00+00:00,4.946217,7.5297523,101381.13,286.3259,0.090234905
2015-01-08 16:00:00+00:00,4.8561234,7.4285717,101374.49,286.50662,0.09023228
2015-01-08 17:00:00+00:00,4.6878843,7.3169146,101391.24,286.7409,0.090234905
2015-01-08 18:00:00+00:00,4.738601,6.7890143,101400.625,286.9113,0.09022966
2015-01-08 19:00:00+00:00,4.783336,6.050072,101414.22,287.7304,0.09022703
2015-01-08 20:00:00+00:00,4.8415504,5.905583,101407.68,290.53543,0.0902244
2015-01-08 21:00:00+00:00,4.915984,5.9278307,101367.44,291.27625,0.0902244
2015-01-08 22:00:00+00:00,5.6929107,6.891741,101316.125,292.6923,0.090234905
2015-01-08 23:00:00+00:00,5.436978,6.5868316,101264.18,293.26733,0.090234905
2015-01-09 00:00:00+00:00,4.6012015,5.564376,101241.84,293.69214,0.09022703
2015-01-09 01:00:00+00:00,4.325932,5.2014704,101227.195,294.01736,0.09022703
2015-01-09 02:00:00+00:00,4.4776154,5.3975616,101196.75,294.41223,0.09023228
2015-01-09 03:00:00+00:00,5.007218,6.1520276,101150.07,294.49054,0.090237536
2015-01-09 04:00:00+00:00,5.5979447,7.029212,101104.45,294.40073,0.090240166
2015-01-09 05:00:00+00:00,6.055717,7.817523,101081.164,293.50967,0.090240166
2015-01-09 06:00:00+00:00,6.059055,8.018145,101082.75,292.95706,0.090237536
2015-01-09 07:00:00+00:00,5.694926,7.843643,101095.914,292.3826,0.09023228
2015-01-09 08:00:00+00:00,4.9606986,7.657491,101119.516,289.90167,0.0902244
2015-01-09 09:00:00+00:00,4.615417,7.4413466,101146.59,289.68005,0.09021915
2015-01-09 10:00:00+00:00,4.300458,6.9589124,101140.695,288.27667,0.09021652
2015-01-09 11:00:00+00:00,3.5604491,5.901738,101159.875,288.1604,0.09021127
2015-01-09 12:00:00+00:00,2.8401618,4.7308145,101142.695,288.34116,0.09021127
2015-01-09 13:00:00+00:00,2.2529297,3.8648486,101095.07,288.19437,0.09025855
2015-01-09 14:00:00+00:00,1.9141114,3.5049515,101092.125,287.78854,0.09042667
2015-01-09 15:00:00+00:00,1.7848942,3.3968742,101073.266,287.42014,0.090607926
2015-01-09 16:00:00+00:00,1.7354414,3.2556431,101079.48,287.04483,0.090765536
2015-01-09 17:00:00+00:00,1.7543501,3.1472275,101093.18,286.61255,0.09084696
2015-01-09 18:00:00+00:00,1.9556745,2.8654025,101117.73,286.5354,0.0908207
2015-01-09 19:00:00+00:00,1.4290446,2.371154,101141.43,287.86108,0.09065521
